#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         340     -5.5029    -5.43344  0.00493101
         341    -5.51479    -5.43368  0.00492231
         342    -5.53967    -5.43399  0.00491767
         343    -5.50057    -5.43418  0.00490716
         344    -5.36769    -5.43399   0.0048967
         345    -5.43206    -5.43398  0.00488251
         346    -5.36513    -5.43378  0.00487245
         347     -5.4498    -5.43383  0.00485863
         348    -5.52303    -5.43408  0.00485142
         349    -5.41188    -5.43402  0.00483794
         350    -5.36025    -5.43381  0.00482871
         351    -5.46349     -5.4339  0.00481569
         352    -5.40184     -5.4338  0.00480287
         353     -5.4482    -5.43384  0.00478944
         354    -5.43745    -5.43385  0.00477592
         355     -5.4104    -5.43379  0.00476292
         356    -5.51138    -5.43401  0.00475453
         357    -5.56854    -5.43438  0.00475612
         358    -5.58304     -5.4348  0.00476093
         359    -5.50888    -5.43501  0.00475214
         360     -5.4133    -5.43494  0.00473932
         361    -5.44732    -5.43498  0.00472631
         362    -5.44458    -5.43501  0.00471333
         363    -5.42629    -5.43498  0.00470041
         364    -5.57233    -5.43536  0.00470262
         365    -5.63068    -5.43589  0.00472008
         366    -5.48001    -5.43601  0.00470872
         367    -5.48649    -5.43615   0.0046979
         368    -5.49812    -5.43632  0.00468815
         369    -5.41048    -5.43625  0.00467597
         370    -5.47085    -5.43634  0.00466427
         371    -5.42242    -5.43631  0.00465185
         372    -5.42066    -5.43626  0.00463953
         373    -5.38583    -5.43613  0.00462906
         374    -5.41151    -5.43606  0.00461715
         375    -5.39394    -5.43595  0.00460621
         376    -5.49568    -5.43611   0.0045967
         377    -5.51737    -5.43633  0.00458955
         378    -5.49529    -5.43648  0.00458006
         379    -5.51555    -5.43669  0.00457273
         380    -5.51074    -5.43689  0.00456484
         381    -5.49309    -5.43703  0.00455524
         382    -5.40735    -5.43695  0.00454398
         383    -5.45325      -5.437  0.00453232
         384    -5.45916    -5.43706  0.00452088
         385    -5.44086    -5.43706  0.00450915
         386    -5.44374    -5.43708   0.0044975
         387    -5.43474    -5.43708  0.00448588
         388    -5.44869    -5.43711  0.00447442
         389    -5.38158    -5.43696   0.0044652
         390    -5.36511    -5.43678  0.00445755
         391    -5.36932    -5.43661  0.00444948
         392    -5.38193    -5.43647  0.00444032
         393    -5.41381    -5.43641  0.00442939
         394    -5.38228    -5.43627  0.00442028
         395    -5.38928    -5.43615  0.00441069
         396    -5.40078    -5.43606  0.00440046
         397    -5.37592    -5.43591  0.00439198
         398    -5.47637    -5.43601  0.00438212
         399    -5.51309    -5.43621   0.0043754
         400    -5.51054    -5.43639   0.0043684
         401    -5.51213    -5.43658  0.00436159
         402    -5.56828    -5.43691  0.00436303
         403    -5.50981    -5.43709  0.00435595
         404    -5.45437    -5.43713  0.00434538
         405    -5.43248    -5.43712  0.00433466
         406    -5.47758    -5.43722  0.00432513
         407    -5.36445    -5.43704   0.0043182
         408    -5.30449    -5.43672  0.00431982
         409    -5.19672    -5.43613  0.00434893
         410    -5.30705    -5.43582   0.0043497
         411    -5.29819    -5.43548  0.00435199
         412    -5.17308    -5.43484  0.00438778
         413    -5.25178     -5.4344  0.00439949
         414    -5.35876    -5.43422  0.00439265
         415    -5.36185    -5.43404  0.00438553
         416     -5.3411    -5.43382  0.00438067
         417    -5.27173    -5.43343  0.00438738
         418    -5.30877    -5.43313  0.00438701
         419    -5.36525    -5.43297  0.00437953
         420    -5.38084    -5.43285  0.00437086
         421    -5.39255    -5.43275  0.00436153
         422    -5.42442    -5.43273  0.00435124
         423    -5.37573     -5.4326  0.00434304
         424    -5.39385    -5.43251  0.00433375
         425    -5.37801    -5.43238  0.00432545
         426    -5.25873    -5.43197  0.00433446
         427     -5.2969    -5.43165  0.00433584
         428    -5.28013     -5.4313  0.00434014
         429    -5.28486    -5.43096  0.00434342
         430    -5.26228    -5.43057    0.004351
         431    -5.31555     -5.4303  0.00434908
         432    -5.42595    -5.43029  0.00433902
         433    -5.42691    -5.43028  0.00432901
         434    -5.44277    -5.43031  0.00431913
         435    -5.41912    -5.43028  0.00430928
         436    -5.39359     -5.4302  0.00430022
         437    -5.42362    -5.43019   0.0042904
         438    -5.41695    -5.43015  0.00428071
         439    -5.55166    -5.43043   0.0042799
         440    -5.54283    -5.43069  0.00427779
         441    -5.46987    -5.43078  0.00426901
         442    -5.41863    -5.43075  0.00425944
         443    -5.37312    -5.43062  0.00425181
         444    -5.42707    -5.43061  0.00424225
         445    -5.40905    -5.43056  0.00423299
         446    -5.43816    -5.43058  0.00422353
         447    -5.40546    -5.43052  0.00421446
         448    -5.47313    -5.43062  0.00420612
         449    -5.46945     -5.4307  0.00419764
         450    -5.42723     -5.4307  0.00418832
         451    -5.33721    -5.43049  0.00418416
         452    -5.45146    -5.43054  0.00417516
         453    -5.42099    -5.43051    0.004166
         454    -5.42222     -5.4305  0.00415686
         455    -5.40628    -5.43044  0.00414807
         456    -5.33558    -5.43024  0.00414419
         457    -5.38712    -5.43014  0.00413619
         458    -5.40029    -5.43008  0.00412767
         459    -5.32801    -5.42985  0.00412467
         460    -5.34172    -5.42966  0.00412015
         461    -5.37532    -5.42954  0.00411289
         462    -5.38608    -5.42945  0.00410507
         463    -5.39398    -5.42937  0.00409692
         464    -5.42378    -5.42936   0.0040881
         465    -5.43567    -5.42937  0.00407934
         466    -5.44826    -5.42942  0.00407078
         467    -5.52103    -5.42961  0.00406679
         468    -5.59021    -5.42995  0.00407255
         469    -5.62288    -5.43037  0.00408459
         470     -5.6426    -5.43082  0.00410079
         471    -5.63304    -5.43125  0.00411449
         472    -5.60071    -5.43161  0.00412141
         473    -5.51338    -5.43178  0.00411632
         474    -5.45792    -5.43183  0.00410801
         475    -5.51813    -5.43202  0.00410338
         476    -5.43189    -5.43202  0.00409476
         477    -5.38942    -5.43193  0.00408714
         478    -5.45115    -5.43197  0.00407879
         479    -5.49285    -5.43209  0.00407226
         480    -5.48082    -5.43219  0.00406504
         481    -5.44032    -5.43221  0.00405662
         482    -5.37527    -5.43209  0.00404993
         483    -5.46179    -5.43216  0.00404201
         484      -5.563    -5.43243  0.00404269
         485    -5.49932    -5.43256   0.0040367
         486    -5.59049    -5.43289  0.00404146
         487    -5.68399     -5.4334  0.00406592
         488    -5.68291    -5.43392   0.0040896
         489    -5.64612    -5.43435   0.0041042
         490    -5.55713     -5.4346  0.00410347
         491    -5.60887    -5.43495  0.00411043
         492    -5.45055    -5.43499   0.0041022
         493     -5.4693    -5.43506  0.00409447
         494    -5.45306    -5.43509  0.00408634
         495    -5.44163    -5.43511  0.00407811
         496    -5.46835    -5.43517  0.00407044
         497    -5.39924     -5.4351  0.00406289
         498    -5.39651    -5.43502  0.00405547
         499    -5.47828    -5.43511  0.00404827
         500    -5.40511    -5.43505  0.00404062
         501    -5.41929    -5.43502  0.00403267
         502    -5.31961    -5.43479  0.00403119
         503    -5.36333    -5.43465  0.00402568
         504    -5.36329     -5.4345  0.00402018
         505    -5.40411    -5.43444  0.00401267
         506    -5.32224    -5.43422  0.00401086
         507    -5.42087     -5.4342  0.00400304
         508     -5.4053    -5.43414  0.00399556
         509    -5.51356     -5.4343  0.00399076
         510    -5.40701    -5.43424  0.00398329
         511    -5.37622    -5.43413  0.00397711
         512    -5.35586    -5.43398  0.00397228
         513    -5.28864    -5.43369  0.00397463
         514    -5.36511    -5.43356  0.00396913
         515    -5.46098    -5.43361  0.00396178
         516    -5.49171    -5.43372  0.00395571
         517    -5.55073    -5.43395  0.00395452
         518    -5.59588    -5.43426  0.00395923
         519    -5.52167    -5.43443  0.00395518
         520    -5.64785    -5.43484  0.00396881
         521    -5.51326    -5.43499  0.00396404
         522    -5.52178    -5.43516  0.00395994
         523    -5.59281    -5.43546  0.00396382
         524     -5.5388    -5.43566  0.00396116
         525    -5.44156    -5.43567  0.00395363
         526    -5.48631    -5.43577  0.00394728
         527    -5.41614    -5.43573  0.00393997
         528     -5.3999    -5.43566  0.00393309
         529    -5.43156    -5.43565  0.00392566
         530    -5.34706    -5.43549  0.00392181
         531    -5.40894    -5.43544  0.00391475
         532    -5.38363    -5.43534   0.0039086
         533     -5.4528    -5.43537   0.0039014
         534    -5.45171     -5.4354  0.00389422
         535    -5.46841    -5.43546  0.00388743
         536      -5.557    -5.43569  0.00388678
         537    -5.45634    -5.43573  0.00387973
         538    -5.37011    -5.43561  0.00387444
         539    -5.48919    -5.43571  0.00386853
         540    -5.48198    -5.43579  0.00386231
         541    -5.42447    -5.43577  0.00385523
         542    -5.38247    -5.43567  0.00384937
         543    -5.39468     -5.4356  0.00384302
         544    -5.26626    -5.43529  0.00384854
         545    -5.30789    -5.43505  0.00384857
         546    -5.29672     -5.4348  0.00384986
         547    -5.33294    -5.43461  0.00384732
         548    -5.33065    -5.43442  0.00384497
         549    -5.53049     -5.4346  0.00384195
         550    -5.55958    -5.43482  0.00384168
         551    -5.49206    -5.43493  0.00383611
         552     -5.4632    -5.43498   0.0038295
         553    -5.52542    -5.43514  0.00382607
         554    -5.41759    -5.43511  0.00381929
         555    -5.43693    -5.43511  0.00381241
         556    -5.47242    -5.43518  0.00380615
         557    -5.50261     -5.4353  0.00380124
         558    -5.47657    -5.43538  0.00379515
         559    -5.44125    -5.43539  0.00378837
         560    -5.37588    -5.43528   0.0037831
         561    -5.39906    -5.43522   0.0037769
         562    -5.38725    -5.43513  0.00377115
         563    -5.43765    -5.43514  0.00376445
         564    -5.43936    -5.43514  0.00375778
         565    -5.45802    -5.43518  0.00375135
         566    -5.53915    -5.43537  0.00374922
         567    -5.51584    -5.43551  0.00374529
         568    -5.53813    -5.43569  0.00374305
         569    -5.42732    -5.43568   0.0037365
         570    -5.42027    -5.43565  0.00373005
         571    -5.41964    -5.43562  0.00372362
         572    -5.49699    -5.43573  0.00371865
         573    -5.48419    -5.43581  0.00371313
         574    -5.48359     -5.4359  0.00370759
