#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         620     1.66352     2.35049   0.0169063
         621     2.03309     2.34998   0.0168868
         622     1.76924     2.34905   0.0168855
         623      1.8087     2.34818   0.0168806
         624     1.77221     2.34726   0.0168788
         625     1.68407      2.3462   0.0168851
         626     1.63487     2.34506   0.0168963
         627     2.00314     2.34451   0.0168782
         628     1.77048      2.3436    0.016876
         629     1.53514     2.34231   0.0168981
         630     1.41649     2.34084    0.016935
         631      1.6381     2.33973   0.0169448
         632      2.1812     2.33948   0.0169198
         633      2.2357     2.33932   0.0168939
         634     1.95348     2.33871   0.0168782
         635     2.49979     2.33896   0.0168535
         636     2.17679     2.33871    0.016829
         637     2.50863     2.33897   0.0168046
         638     3.08224     2.34014   0.0168186
         639      3.0309     2.34122    0.016827
         640     2.74321     2.34185   0.0168125
         641     2.60312     2.34226   0.0167912
         642      2.3998     2.34234   0.0167652
         643     2.17143     2.34208   0.0167413
         644     2.11223     2.34172   0.0167191
         645     2.04313     2.34126   0.0166996
         646     1.66764     2.34022   0.0167062
         647      1.9837     2.33967   0.0166895
         648     2.05968     2.33923   0.0166693
         649     1.92901      2.3386   0.0166556
         650     2.15617     2.33832   0.0166324
         651     2.56764     2.33867   0.0166106
         652     2.53185     2.33897   0.0165877
         653     2.64468     2.33944   0.0165689
         654     2.24131     2.33929   0.0165443
         655      2.0826      2.3389   0.0165237
         656     2.28323     2.33881   0.0164987
         657      2.5327     2.33911   0.0164762
         658     2.66595      2.3396   0.0164587
         659     2.52932     2.33989   0.0164362
         660     2.55565     2.34022   0.0164146
         661     2.74072     2.34082   0.0164009
         662     2.81465     2.34154   0.0163917
         663     2.26479     2.34142   0.0163674
         664     2.10139     2.34106   0.0163468
         665     1.97149     2.34051   0.0163316
         666     1.98763     2.33998   0.0163157
         667     1.95892      2.3394   0.0163012
         668     2.41316     2.33951   0.0162772
         669     2.64304     2.33997   0.0162592
         670     2.44887     2.34013   0.0162357
         671     2.40342     2.34023   0.0162118
         672     2.13302     2.33992   0.0161906
         673     2.32844      2.3399   0.0161666
         674     2.43162     2.34004   0.0161432
         675     1.88709     2.33937   0.0161332
         676     1.69374     2.33841   0.0161376
         677     1.39482     2.33702   0.0161738
         678      1.1877     2.33532   0.0162385
         679      1.2859     2.33378    0.016288
         680     1.25916      2.3322   0.0163405
         681     1.24415      2.3306   0.0163945
         682     1.37365     2.32919   0.0164304
         683     1.54682     2.32805   0.0164462
         684     1.39415     2.32668   0.0164787
         685     1.40702     2.32534   0.0165093
         686     1.11118     2.32357   0.0165798
         687       1.516      2.3224   0.0165973
         688     1.51597     2.32122   0.0166145
         689     1.66835     2.32028   0.0166174
         690     2.42862     2.32043   0.0165941
         691     2.74194     2.32104   0.0165812
         692     2.38471     2.32113   0.0165575
         693       2.384     2.32123   0.0165339
         694     2.23747      2.3211   0.0165105
         695     2.05642     2.32072   0.0164911
         696     2.16042     2.32049   0.0164691
         697     2.24506     2.32039   0.0164458
         698     2.04442     2.31999    0.016427
         699     2.03761     2.31959   0.0164084
         700     1.73512     2.31875   0.0164062
         701     2.17954     2.31855    0.016384
         702     2.14292      2.3183   0.0163626
         703     1.81234     2.31758   0.0163551
         704     2.24156     2.31747   0.0163323
         705     2.39814     2.31759   0.0163095
         706     2.60774       2.318   0.0162916
