#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         439     1.82104      1.5207     0.01641
         440      1.8175     1.52137   0.0163866
         441     1.81213     1.52203   0.0163627
         442     1.80734     1.52267   0.0163384
         443     1.80166      1.5233   0.0163137
         444     1.79582     1.52392   0.0162885
         445     1.78955     1.52452   0.0162628
         446     1.78306     1.52509   0.0162367
         447     1.77609     1.52566     0.01621
         448      1.7679      1.5262   0.0161829
         449      1.7599     1.52672   0.0161552
         450     1.75014     1.52721   0.0161269
         451     1.74053     1.52769   0.0160981
         452     1.73008     1.52813   0.0160687
         453     1.71901     1.52856   0.0160388
         454     1.70731     1.52895   0.0160083
         455     1.69471     1.52931   0.0159772
         456     1.68217     1.52965   0.0159457
         457     1.66895     1.52995   0.0159137
         458     1.65433     1.53023   0.0158813
         459     1.63951     1.53046   0.0158485
         460     1.62424     1.53067   0.0158153
         461     1.60757     1.53083   0.0157819
         462     1.59119     1.53097   0.0157483
         463     1.57342     1.53106   0.0157145
         464     1.55572     1.53111   0.0156808
         465     1.53716     1.53112   0.0156471
         466     1.51872      1.5311   0.0156135
         467     1.49849     1.53103   0.0155802
         468     1.47797     1.53091   0.0155473
         469      1.4572     1.53076    0.015515
         470     1.43597     1.53055   0.0154833
         471     1.41411     1.53031   0.0154524
         472     1.39238     1.53001   0.0154224
         473     1.36916     1.52967   0.0153936
         474     1.34692     1.52929   0.0153659
         475     1.32429     1.52886   0.0153396
         476     1.30157     1.52838   0.0153148
         477     1.27885     1.52786   0.0152916
         478     1.25619     1.52729   0.0152702
         479     1.23392     1.52668   0.0152506
         480     1.21138     1.52602    0.015233
         481     1.18961     1.52532   0.0152174
         482      1.1682     1.52458   0.0152038
         483     1.14746      1.5238   0.0151924
         484     1.12699     1.52298   0.0151831
         485     1.10659     1.52212    0.015176
         486     1.08777     1.52123   0.0151711
         487     1.06914      1.5203   0.0151683
         488     1.05098     1.51934   0.0151677
         489     1.03406     1.51834   0.0151691
         490     1.01744     1.51732   0.0151726
         491     1.00137     1.51627    0.015178
         492    0.986357     1.51519   0.0151853
         493      0.9724     1.51409   0.0151944
         494    0.959015     1.51297   0.0152051
         495    0.947633     1.51183   0.0152172
         496    0.936311     1.51067   0.0152307
         497    0.925024     1.50949   0.0152456
         498     0.91422     1.50829   0.0152618
         499    0.904579     1.50708   0.0152791
         500    0.895576     1.50586   0.0152974
         501    0.887162     1.50463   0.0153166
         502    0.878558     1.50338   0.0153368
         503    0.871878     1.50212   0.0153576
         504    0.865138     1.50086    0.015379
         505    0.857797     1.49959   0.0154012
         506    0.852442     1.49831   0.0154238
         507    0.846131     1.49702   0.0154469
         508     0.83953     1.49573   0.0154706
         509     0.83403     1.49443   0.0154948
         510    0.828616     1.49312   0.0155193
         511    0.823481     1.49181   0.0155441
         512    0.817373     1.49049   0.0155695
         513    0.811213     1.48917   0.0155953
         514    0.806411     1.48784   0.0156215
         515    0.800283      1.4865   0.0156481
         516    0.793765     1.48516   0.0156752
         517    0.787557     1.48381   0.0157029
         518    0.781644     1.48246    0.015731
         519    0.775534      1.4811   0.0157595
         520    0.768504     1.47973   0.0157887
         521    0.761999     1.47835   0.0158184
         522    0.754586     1.47696   0.0158487
         523    0.747481     1.47557   0.0158797
         524    0.740225     1.47416   0.0159112
         525    0.732857     1.47275   0.0159435
         526    0.725898     1.47133   0.0159763
         527    0.717228      1.4699   0.0160099
         528    0.709796     1.46846   0.0160442
         529    0.701013     1.46701   0.0160793
         530    0.693599     1.46555    0.016115
         531    0.685947     1.46408   0.0161514
