#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         283    -5.37646    -5.41965  0.00433723
         284    -5.37941    -5.41951  0.00432427
         285    -5.38199    -5.41938   0.0043111
         286    -5.38478    -5.41926  0.00429772
         287    -5.38777    -5.41915  0.00428415
         288    -5.39019    -5.41905  0.00427045
         289    -5.39247    -5.41896  0.00425667
         290    -5.39489    -5.41887   0.0042428
         291    -5.39791     -5.4188  0.00422883
         292    -5.40043    -5.41874  0.00421481
         293    -5.40352    -5.41869  0.00420075
         294    -5.40671    -5.41865  0.00418666
         295    -5.40952    -5.41862  0.00417258
         296    -5.41196    -5.41859  0.00415854
         297    -5.41493    -5.41858  0.00414456
         298    -5.41751    -5.41858  0.00413065
         299    -5.41985    -5.41858  0.00411684
         300    -5.42224    -5.41859  0.00410314
         301    -5.42454    -5.41861  0.00408955
         302    -5.42659    -5.41864   0.0040761
         303    -5.42823    -5.41867  0.00406277
         304    -5.43068    -5.41871  0.00404959
         305    -5.43258    -5.41876  0.00403657
         306    -5.43452    -5.41881  0.00402371
         307    -5.43622    -5.41886    0.004011
         308    -5.43738    -5.41892  0.00399843
         309    -5.43845    -5.41899  0.00398599
         310    -5.43974    -5.41905  0.00397369
         311    -5.44113    -5.41913  0.00396155
         312      -5.442     -5.4192  0.00394953
         313    -5.44285    -5.41927  0.00393764
         314    -5.44383    -5.41935  0.00392587
         315    -5.44497    -5.41943  0.00391425
         316     -5.4463    -5.41952  0.00390279
         317     -5.4474    -5.41961  0.00389147
         318    -5.44846     -5.4197  0.00388029
         319     -5.4495    -5.41979  0.00386925
         320    -5.45104    -5.41989  0.00385839
         321     -5.4531    -5.41999  0.00384776
         322    -5.45498     -5.4201  0.00383734
         323    -5.45731    -5.42022  0.00382719
         324    -5.46014    -5.42034  0.00381736
         325     -5.4635    -5.42047  0.00380792
         326    -5.46681    -5.42061  0.00379889
         327    -5.47054    -5.42077  0.00379034
         328    -5.47577    -5.42093  0.00378249
         329    -5.48053    -5.42112  0.00377533
         330    -5.48662    -5.42131  0.00376911
         331    -5.49237    -5.42153  0.00376383
         332    -5.49834    -5.42176   0.0037596
         333    -5.50494    -5.42201  0.00375659
         334    -5.51121    -5.42228  0.00375483
         335    -5.51831    -5.42256  0.00375455
         336     -5.5257    -5.42287   0.0037559
         337    -5.53243     -5.4232   0.0037588
         338    -5.53946    -5.42354  0.00376338
         339    -5.54597     -5.4239  0.00376957
         340    -5.55309    -5.42428  0.00377758
         341     -5.5597    -5.42468  0.00378732
         342    -5.56618    -5.42509  0.00379878
         343    -5.57232    -5.42552  0.00381188
         344    -5.57837    -5.42597  0.00382661
         345    -5.58382    -5.42642  0.00384278
         346    -5.58818    -5.42689     0.00386
         347    -5.59246    -5.42737  0.00387826
         348    -5.59619    -5.42785  0.00389734
         349    -5.59965    -5.42834  0.00391713
         350    -5.60251    -5.42884  0.00393742
         351    -5.60462    -5.42934  0.00395793
         352    -5.60581    -5.42984  0.00397831
         353     -5.6064    -5.43034  0.00399835
         354    -5.60623    -5.43084  0.00401781
         355    -5.60531    -5.43133  0.00403643
         356    -5.60425    -5.43182  0.00405422
         357    -5.60188     -5.4323  0.00407075
         358     -5.5997    -5.43276  0.00408615
         359    -5.59715    -5.43322  0.00410034
         360    -5.59469    -5.43367  0.00411341
         361    -5.59085     -5.4341  0.00412499
         362     -5.5867    -5.43453  0.00413508
         363    -5.58212    -5.43493  0.00414363
         364    -5.57731    -5.43532  0.00415067
         365    -5.57168     -5.4357  0.00415607
         366    -5.56648    -5.43605  0.00416005
         367      -5.561     -5.4364  0.00416262
         368    -5.55466    -5.43672   0.0041637
         369    -5.54841    -5.43702  0.00416341
         370    -5.54198     -5.4373  0.00416181
         371    -5.53511    -5.43757  0.00415893
         372    -5.52813    -5.43781  0.00415487
         373     -5.5211    -5.43803  0.00414973
         374    -5.51434    -5.43824  0.00414364
         375     -5.5073    -5.43842  0.00413668
         376    -5.50106    -5.43859  0.00412904
         377    -5.49414    -5.43874  0.00412071
         378     -5.4878    -5.43887  0.00411185
         379    -5.48161    -5.43898  0.00410255
         380    -5.47498    -5.43907  0.00409285
         381    -5.46931    -5.43915  0.00408288
         382    -5.46357    -5.43922  0.00407269
         383    -5.45762    -5.43926  0.00406234
         384    -5.45207     -5.4393   0.0040519
         385    -5.44725    -5.43932  0.00404142
         386    -5.44225    -5.43933  0.00403096
         387     -5.4383    -5.43932  0.00402055
         388    -5.43448    -5.43931   0.0040102
         389    -5.43048    -5.43929  0.00399996
         390    -5.42689    -5.43926  0.00398983
         391    -5.42296    -5.43921  0.00397984
         392    -5.41956    -5.43916     0.00397
         393    -5.41683    -5.43911  0.00396031
         394    -5.41353    -5.43904  0.00395079
         395     -5.4107    -5.43897  0.00394144
         396    -5.40785    -5.43889  0.00393227
         397    -5.40585    -5.43881  0.00392325
         398    -5.40347    -5.43872  0.00391439
         399    -5.40114    -5.43863  0.00390572
         400    -5.39956    -5.43853  0.00389717
         401    -5.39752    -5.43843   0.0038888
         402    -5.39527    -5.43832   0.0038806
         403    -5.39281    -5.43821  0.00387262
         404    -5.39025    -5.43809  0.00386485
