#     BLOCK:   VELOCITY:   ACT_POFV:    AVE_POFV:        ERROR:
          15    0.176777   0.0263987   0.0970744    0.023892
          15     0.53033    0.055521    0.206594   0.0367724
          15    0.883883    0.155354    0.240001   0.0221212
          15     1.23744     0.25592    0.302869   0.0254011
          15     1.59099    0.318879    0.322294   0.0229088
          15     1.94454     0.57857    0.293318   0.0273157
          15      2.2981    0.383514    0.339394   0.0127634
          15     2.65165    0.296828    0.290218   0.0217886
          15      3.0052    0.260844    0.190035   0.0169242
          15     3.35876    0.168187    0.175342   0.0115033
          15     3.71231    0.109261   0.0953285  0.00973016
          15     4.06586   0.0490261   0.0899824   0.0131476
          15     4.41942   0.0619111   0.0638002  0.00861031
          15     4.77297   0.0341506   0.0333091  0.00596811
          15     5.12652    0.015923   0.0319473  0.00747076
          15     5.48008   0.0319508   0.0051226  0.00250507
          15     5.83363   0.0261891    0.016342  0.00303989
          15     6.18718           0   0.0181473  0.00441591
          15     6.54074           0  0.00160278 0.000942496
          15     6.89429           0   0.0157065  0.00318153
          16    0.176777   0.0269748   0.0926932   0.0227969
          16     0.53033   0.0398075     0.19617   0.0359213
          16    0.883883    0.147392    0.234213   0.0214825
          16     1.23744    0.293056    0.302255   0.0238209
          16     1.59099     0.28719      0.3201   0.0215818
          16     1.94454    0.489894    0.305604   0.0282366
          16      2.2981    0.332393    0.338956   0.0119732
          16     2.65165    0.362615    0.294742   0.0208914
          16      3.0052    0.348682    0.199951   0.0185449
          16     3.35876    0.156978    0.174194   0.0108415
          16     3.71231    0.119108   0.0968147  0.00923484
          16     4.06586   0.0966903   0.0904016   0.0123325
          16     4.41942   0.0450453   0.0626281  0.00815156
          16     4.77297   0.0198514    0.032468  0.00565407
          16     5.12652   0.0267653   0.0316234  0.00701085
          16     5.48008  0.00979474   0.0054146  0.00236546
          16     5.83363   0.0261891   0.0169575  0.00291153
          16     6.18718           0   0.0170131   0.0042831
          16     6.54074           0   0.0015026 0.000888898
          16     6.89429           0   0.0147248  0.00313047
          17    0.176777   0.0263987   0.0887935   0.0217869
          17     0.53033    0.080453    0.189363   0.0344472
          17    0.883883      0.1905    0.231641   0.0203721
          17     1.23744    0.166668     0.29428   0.0237174
          17     1.59099    0.401218    0.324872   0.0208331
          17     1.94454    0.483766    0.316084   0.0284541
          17      2.2981     0.30788    0.337128   0.0114076
          17     2.65165    0.263882    0.292927   0.0197412
          17      3.0052    0.390428    0.211155   0.0205621
          17     3.35876    0.184791    0.174817   0.0102216
          17     3.71231    0.101928   0.0971155  0.00869651
          17     4.06586   0.0746914   0.0894775   0.0116417
          17     4.41942   0.0685108   0.0629741   0.0076794
          17     4.77297   0.0121518   0.0312729  0.00544631
          17     5.12652   0.0485547   0.0326193  0.00666882
          17     5.48008 0.000419026  0.00512075  0.00224449
          17     5.83363   0.0261891   0.0175005  0.00279044
          17     6.18718           0   0.0160123  0.00414642
          17     6.54074           0  0.00141421 0.000840992
          17     6.89429           0   0.0138587  0.00306381
          18    0.176777   0.0131993   0.0845938   0.0209774
          18     0.53033    0.104547    0.184651   0.0328541
          18    0.883883    0.221455    0.231076   0.0192482
          18     1.23744    0.233188    0.290886   0.0226413
          18     1.59099    0.323541    0.324798   0.0196758
          18     1.94454    0.446053    0.323305   0.0277744
          18      2.2981    0.266029    0.333178   0.0114373
          18     2.65165    0.371624    0.297299   0.0191225
          18      3.0052    0.299656    0.216072   0.0199989
          18     3.35876    0.188614    0.175584  0.00968247
          18     3.71231    0.144093   0.0997253  0.00859607
          18     4.06586   0.0480833   0.0871778   0.0112197
          18     4.41942   0.0623825   0.0629412  0.00725284
          18     4.77297    0.023675   0.0308508  0.00516007
          18     5.12652   0.0323174   0.0326026  0.00629835
          18     5.48008   0.0210037  0.00600313  0.00228668
          18     5.83363   0.0203228   0.0176573  0.00263982
          18     6.18718  0.00864242   0.0156029  0.00393623
          18     6.54074           0  0.00133565 0.000797932
          18     6.89429           0   0.0130888  0.00298877
          19    0.176777  0.00031427   0.0801581   0.0203369
          19     0.53033   0.0879955    0.179564   0.0315164
          19    0.883883    0.195633     0.22921   0.0183253
          19     1.23744    0.370367    0.295069   0.0218327
          19     1.59099    0.261158    0.321448   0.0189232
          19     1.94454    0.310498    0.322631   0.0263207
          19      2.2981    0.337421    0.333402   0.0108375
          19     2.65165    0.490627    0.307474   0.0206464
          19      3.0052    0.257754    0.218266   0.0190663
          19     3.35876    0.152421    0.174365  0.00924929
          19     3.71231    0.195947     0.10479  0.00951926
          19     4.06586   0.0101614   0.0831243   0.0113378
          19     4.41942   0.0373457   0.0615941   0.0069951
          19     4.77297   0.0422169    0.031449  0.00492304
          19     5.12652   0.0261891    0.032265  0.00597589
          19     5.48008   0.0261891  0.00706555  0.00240048
          19     5.83363   0.0167087   0.0176074  0.00250135
          19     6.18718  0.00948047   0.0152807  0.00374222
          19     6.54074           0  0.00126535 0.000759026
          19     6.89429           0   0.0123999  0.00290978
          20    0.176777   0.0048188   0.0763911   0.0196658
          20     0.53033    0.117694     0.17647    0.030092
          20    0.883883    0.178924    0.226696   0.0175807
          20     1.23744    0.312017    0.295916   0.0207575
          20     1.59099    0.319403    0.321346   0.0179773
          20     1.94454    0.322284    0.322614   0.0250047
          20      2.2981    0.350254    0.334244   0.0103283
          20     2.65165    0.341454    0.309173   0.0196839
          20      3.0052    0.329564    0.223831   0.0189077
          20     3.35876    0.208413    0.176067  0.00894213
          20     3.71231    0.160749    0.107588  0.00944554
          20     4.06586  0.00219989   0.0790781   0.0114702
          20     4.41942   0.0291223   0.0599705  0.00683117
          20     4.77297    0.102661   0.0350096  0.00582386
          20     5.12652   0.0173372   0.0315186  0.00572352
          20     5.48008  0.00534258  0.00697941    0.002282
          20     5.83363  0.00623302   0.0170387  0.00244008
          20     6.18718   0.0182276    0.015428  0.00355801
          20     6.54074  0.00172848  0.00128851 0.000721428
          20     6.89429           0   0.0117799  0.00282957
          21    0.176777    0.016761   0.0735516   0.0189333
          21     0.53033   0.0560448    0.170736   0.0292003
          21    0.883883    0.197833    0.225321   0.0167971
          21     1.23744    0.368272    0.299362   0.0200529
          21     1.59099    0.314008    0.320997   0.0171246
          21     1.94454    0.380109    0.325351   0.0239634
          21      2.2981     0.33014    0.334049  0.00983835
          21     2.65165    0.254244    0.306558   0.0189196
          21      3.0052    0.326264    0.228709   0.0186259
          21     3.35876    0.205166    0.177453  0.00862301
          21     3.71231    0.185471    0.111296  0.00969657
          21     4.06586   0.0118899   0.0758787   0.0113615
          21     4.41942   0.0496546   0.0594793  0.00652351
          21     4.77297    0.093181   0.0377797  0.00617025
          21     5.12652   0.0131993   0.0306463  0.00551705
          21     5.48008           0  0.00664705   0.0021974
          21     5.83363   0.0261891   0.0174744  0.00236247
          21     6.18718           0   0.0146934   0.0034636
          21     6.54074           0  0.00122715 0.000689678
          21     6.89429           0   0.0112189  0.00274987
          22    0.176777  0.00607588   0.0704845   0.0183194
          22     0.53033   0.0522735    0.165351   0.0283652
          22    0.883883    0.192962     0.22385   0.0160979
          22     1.23744    0.354287    0.301858   0.0192962
          22     1.59099    0.399908    0.324583   0.0167177
          22     1.94454    0.315736    0.324914   0.0228782
          22      2.2981    0.328517    0.333797  0.00939436
          22     2.65165    0.284624    0.305561   0.0180858
          22      3.0052    0.297194    0.231822   0.0180375
          22     3.35876    0.181334    0.177629  0.00823286
          22     3.71231    0.216584    0.116082   0.0103698
          22     4.06586   0.0247749   0.0735558     0.01108
          22     4.41942   0.0694012   0.0599303  0.00624256
          22     4.77297    0.073382    0.039398   0.0060983
          22     5.12652  0.00518545    0.029489  0.00538629
          22     5.48008           0  0.00634491  0.00211819
          22     5.83363   0.0261891   0.0178705  0.00228806
          22     6.18718           0   0.0140255  0.00336994
          22     6.54074           0  0.00117137 0.000660581
          22     6.89429           0    0.010709  0.00267174
          23    0.176777  0.00633777   0.0676955   0.0177339
          23     0.53033    0.073801    0.161371   0.0274098
          23    0.883883    0.163892    0.221244   0.0156076
          23     1.23744    0.349363    0.303924   0.0185675
          23     1.59099    0.300075    0.323518   0.0160247
          23     1.94454    0.394094    0.327922   0.0220803
          23      2.2981    0.375395    0.335606  0.00915835
          23     2.65165    0.355806    0.307745   0.0174309
          23      3.0052    0.182434    0.229674   0.0173806
          23     3.35876     0.24953    0.180755   0.0084476
          23     3.71231    0.157501    0.117883   0.0100741
          23     4.06586   0.0764723   0.0736826    0.010599
          23     4.41942    0.047769   0.0594015  0.00599349
          23     4.77297    0.060235   0.0403039  0.00590007
          23     5.12652  0.00953285   0.0286213  0.00522152
          23     5.48008           0  0.00606905  0.00204398
          23     5.83363   0.0261891   0.0182322  0.00221698
          23     6.18718           0   0.0134157  0.00327813
          23     6.54074           0  0.00112044 0.000633821
          23     6.89429           0   0.0102434  0.00259583
          24    0.176777   0.0261891   0.0659661   0.0170791
          24     0.53033   0.0238321     0.15564   0.0268601
          24    0.883883     0.20527    0.220578   0.0149715
          24     1.23744    0.273781    0.302668   0.0178362
          24     1.59099    0.421226    0.327589   0.0158658
          24     1.94454    0.432016    0.332259   0.0215821
          24      2.2981     0.25194     0.33212   0.0094169
          24     2.65165    0.358425    0.309857   0.0168321
          24      3.0052    0.188928    0.227976   0.0167391
          24     3.35876    0.264144     0.18423  0.00878113
          24     3.71231     0.15373    0.119377  0.00976445
          24     4.06586    0.105909   0.0750253    0.010242
          24     4.41942   0.0444692   0.0587793  0.00577597
          24     4.77297   0.0523783    0.040807  0.00567564
          24     5.12652           0   0.0274288  0.00513834
          24     5.48008           0  0.00581617   0.0019744
          24     5.83363   0.0137755   0.0180465  0.00213237
          24     6.18718   0.0124137   0.0133739  0.00314181
          24     6.54074           0  0.00107375 0.000609128
          24     6.89429           0  0.00981656  0.00252252
          25    0.176777  0.00130946   0.0633798   0.0165906
          25     0.53033   0.0807149    0.152643   0.0259523
          25    0.883883    0.152421    0.217852   0.0146188
          25     1.23744     0.29709    0.302445   0.0171242
          25     1.59099     0.41096    0.330924   0.0155777
          25     1.94454    0.362772     0.33348   0.0207533
          25      2.2981    0.382414    0.334132  0.00925261
          25     2.65165    0.307041    0.309744   0.0161592
          25      3.0052    0.211975    0.227336   0.0160818
          25     3.35876    0.253301    0.186993  0.00885388
          25     3.71231    0.151845    0.120675  0.00945985
          25     4.06586   0.0861099   0.0754687  0.00984196
          25     4.41942   0.0488689   0.0583829  0.00555852
          25     4.77297   0.0554162   0.0413914  0.00547862
          25     5.12652 0.000838052   0.0263651  0.00504169
          25     5.48008 0.000838052  0.00561705  0.00190543
          25     5.83363   0.0072282   0.0176138  0.00209052
          25     6.18718   0.0172848   0.0135304  0.00302003
          25     6.54074           0   0.0010308 0.000586275
          25     6.89429           0   0.0094239  0.00245199
          26    0.176777  0.00031427   0.0609542   0.0161289
          26     0.53033   0.0567781    0.148956   0.0252147
          26    0.883883    0.123141    0.214209   0.0145032
          26     1.23744    0.353344    0.304402   0.0165771
          26     1.59099    0.371781    0.332495   0.0150576
          26     1.94454    0.393466    0.335787   0.0200829
          26      2.2981    0.424788    0.337618  0.00953111
          26     2.65165    0.295047    0.309179   0.0155475
          26      3.0052     0.16981    0.225124   0.0156147
          26     3.35876    0.251678     0.18948  0.00885599
          26     3.71231    0.181281    0.123006   0.0093788
          26     4.06586   0.0805054   0.0756624  0.00946533
          26     4.41942   0.0611255   0.0584884  0.00534573
          26     4.77297    0.033784   0.0410988  0.00527571
          26     5.12652  0.00539496   0.0255586  0.00491187
          26     5.48008 0.000366648  0.00541511  0.00184282
          26     5.83363  0.00130946   0.0169867  0.00210207
          26     6.18718    0.024513   0.0139528  0.00293327
          26     6.54074           0 0.000991158 0.000565065
          26     6.89429           0  0.00906144  0.00238432
          27    0.176777   0.0129374   0.0591758   0.0156292
          27     0.53033    0.105961    0.147363   0.0243311
          27    0.883883    0.121884     0.21079   0.0143635
          27     1.23744    0.397132    0.307837    0.016315
          27     1.59099    0.247802    0.329359    0.014823
          27     1.94454    0.450977    0.340053    0.019787
          27      2.2981    0.371886    0.338887  0.00926222
          27     2.65165    0.263463    0.307486   0.0150636
          27      3.0052    0.120784    0.221259   0.0155072
          27     3.35876    0.285724    0.193045  0.00921749
          27     3.71231    0.242354    0.127427   0.0100191
          27     4.06586   0.0687727   0.0754073   0.0091182
          27     4.41942   0.0405408   0.0578237   0.0051889
          27     4.77297   0.0634301   0.0419259  0.00514474
          27     5.12652  0.00859004   0.0249301  0.00476998
          27     5.48008   0.0261891  0.00618452  0.00192851
          27     5.83363           0   0.0163575  0.00211627
          27     6.18718           0    0.013436  0.00286979
          27     6.54074           0 0.000954449 0.000545328
          27     6.89429           0  0.00872583  0.00231951
          28    0.176777  0.00183324   0.0571279   0.0152046
          28     0.53033   0.0888336    0.145273   0.0235517
          28    0.883883    0.210718    0.210787   0.0138506
          28     1.23744    0.379847    0.310409   0.0159338
          28     1.59099    0.386709    0.331407   0.0144345
          28     1.94454    0.361829    0.340831   0.0190956
          28      2.2981     0.27771    0.336703  0.00918552
          28     2.65165    0.225227    0.304548   0.0148093
          28      3.0052    0.184162    0.219935   0.0150099
          28     3.35876    0.263148    0.195549  0.00922206
          28     3.71231    0.228736    0.131045   0.0102939
          28     4.06586   0.0623825   0.0749421  0.00880441
          28     4.41942   0.0329983   0.0569371  0.00507877
          28     4.77297   0.0586113   0.0425218  0.00499539
          28     5.12652   0.0394932   0.0254502   0.0046279
          28     5.48008   0.0176515  0.00659405  0.00190262
          28     5.83363  0.00853766   0.0160783  0.00205903
          28     6.18718           0   0.0129561  0.00280713
          28     6.54074           0 0.000920361 0.000526916
          28     6.89429           0   0.0084142  0.00225751
          29    0.176777   0.0102661   0.0555119    0.014766
          29     0.53033    0.100985    0.143746   0.0227891
          29    0.883883    0.249844    0.212134   0.0134383
          29     1.23744    0.308927    0.310358   0.0153844
          29     1.59099    0.400799      0.3338   0.0141337
          29     1.94454    0.392418     0.34261   0.0185198
          29      2.2981    0.267234    0.334307  0.00917582
          29     2.65165    0.273257    0.303469   0.0143379
          29      3.0052    0.227269    0.220187   0.0144944
