#     BLOCK:   DISTANCE:   ACT_GOFR:    AVE_GOFR:        ERROR:
           6     1.34661    0.935944    0.937442  0.00703666
           6     1.37226    0.859524    0.871619  0.00724785
           6     1.39791    0.827794    0.815758   0.0048155
           6     1.42355    0.757303    0.772234   0.0041335
           6      1.4492    0.735794    0.736951   0.0031588
           6     1.47485    0.706397    0.709021  0.00254693
           6      1.5005    0.685292    0.690821   0.0021968
           6     1.52615    0.687087     0.68665  0.00212812
           6      1.5518    0.671391    0.677072    0.003977
           6     1.57745    0.678134    0.678191  0.00624035
           6      1.6031    0.698384    0.688282  0.00596236
           6     1.62875    0.705961     0.69769  0.00737703
           6      1.6544    0.732755    0.715272  0.00792699
           6     1.68005    0.742407    0.731733  0.00567224
           6      1.7057    0.776625    0.759457  0.00603605
           6     1.73135    0.782654    0.788292  0.00345458
           6       1.757    0.820315    0.823812  0.00541543
           6     1.78265    0.848495    0.853964  0.00695208
           6      1.8083    0.894874     0.89165  0.00400404
           6     1.83395     0.91804    0.927086  0.00307561
           6      1.8596    0.949999     0.96762  0.00411651
           6     1.88525     1.01386     1.01151  0.00309237
           6      1.9109     1.04866     1.05128  0.00252202
           6     1.93655      1.0919     1.09261  0.00176445
           6      1.9622     1.12244     1.12045  0.00199171
           6     1.98785     1.15289     1.15845  0.00306738
           6      2.0135     1.18893     1.18062  0.00247717
           6     2.03915      1.2071     1.19965  0.00231296
           6      2.0648     1.20797     1.21274  0.00248994
           6     2.09045     1.21955     1.21126  0.00417425
           6      2.1161     1.21794     1.20573  0.00623644
           6     2.14174     1.19419     1.19624  0.00415195
           6     2.16739     1.17487     1.17257  0.00618497
           6     2.19304     1.14899     1.14759  0.00540227
           6     2.21869     1.12211     1.11937  0.00543159
           6     2.24434     1.08332     1.08705  0.00705611
           6     2.26999     1.05596     1.06449   0.0057991
           6     2.29564     1.04049     1.03735  0.00536832
           6     2.32129     1.01834     1.01329  0.00628823
           6     2.34694     0.98751    0.989963  0.00573864
           6     2.37259    0.978802    0.969431  0.00489077
           6     2.39824    0.941071     0.94758  0.00351474
           6     2.42389    0.927554    0.934196  0.00358522
           6     2.44954     0.91242    0.925039  0.00350149
           6     2.47519    0.901427     0.91174   0.0026494
           6     2.50084    0.897224    0.901947  0.00409814
           6     2.52649    0.883036    0.894368  0.00495904
           6     2.55214    0.885212    0.893007  0.00629618
           7   0.0128248           0           0           0
           7   0.0384745           0           0           0
           7   0.0641241           0           0           0
           7   0.0897737           0           0           0
           7    0.115423           0           0           0
           7    0.141073           0           0           0
           7    0.166723           0           0           0
           7    0.192372           0           0           0
           7    0.218022           0           0           0
           7    0.243672           0           0           0
           7    0.269321           0           0           0
           7    0.294971           0           0           0
           7     0.32062           0           0           0
           7     0.34627           0           0           0
           7     0.37192           0           0           0
           7    0.397569           0           0           0
           7    0.423219           0           0           0
           7    0.448869           0           0           0
           7    0.474518           0           0           0
           7    0.500168           0           0           0
