#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         469    -5.38274    -5.62037    0.017944
         470      -5.382    -5.61987    0.017913
         471    -5.38158    -5.61936   0.0178821
         472    -5.38057    -5.61885   0.0178513
         473    -5.37988    -5.61835   0.0178207
         474    -5.37953    -5.61784   0.0177903
         475    -5.37937    -5.61734   0.0177599
         476    -5.37925    -5.61684   0.0177296
         477    -5.37977    -5.61635   0.0176994
         478    -5.38018    -5.61585   0.0176693
         479    -5.38107    -5.61536   0.0176392
         480    -5.38183    -5.61487   0.0176092
         481    -5.38319    -5.61439   0.0175791
         482    -5.38438    -5.61392   0.0175491
         483    -5.38554    -5.61344   0.0175192
         484    -5.38677    -5.61297   0.0174892
         485    -5.38867    -5.61251   0.0174593
         486    -5.39013    -5.61205   0.0174294
         487    -5.39144     -5.6116   0.0173995
         488    -5.39286    -5.61115   0.0173696
         489    -5.39422    -5.61071   0.0173397
         490    -5.39472    -5.61027   0.0173099
         491    -5.39585    -5.60983   0.0172802
         492    -5.39684     -5.6094   0.0172505
         493     -5.3978    -5.60897   0.0172208
         494    -5.39871    -5.60854   0.0171912
         495    -5.39927    -5.60812   0.0171617
         496    -5.39884     -5.6077   0.0171323
         497    -5.39908    -5.60728    0.017103
         498    -5.39938    -5.60686   0.0170737
         499    -5.39911    -5.60645   0.0170446
         500    -5.39813    -5.60603   0.0170156
         501    -5.39733    -5.60561   0.0169867
         502    -5.39597     -5.6052    0.016958
         503    -5.39434    -5.60478   0.0169295
         504    -5.39229    -5.60435   0.0169011
         505    -5.39013    -5.60393    0.016873
         506    -5.38802     -5.6035    0.016845
         507    -5.38567    -5.60307   0.0168173
         508    -5.38278    -5.60264   0.0167898
         509    -5.37968     -5.6022   0.0167625
         510    -5.37622    -5.60176   0.0167355
         511    -5.37288    -5.60131   0.0167087
         512    -5.36923    -5.60086   0.0166822
         513    -5.36603     -5.6004    0.016656
         514    -5.36182    -5.59994   0.0166301
         515    -5.35812    -5.59947   0.0166044
         516    -5.35405    -5.59899    0.016579
         517    -5.34979    -5.59851    0.016554
         518    -5.34582    -5.59802   0.0165292
         519    -5.34247    -5.59753   0.0165047
         520     -5.3384    -5.59703   0.0164805
         521    -5.33438    -5.59653   0.0164565
         522    -5.33058    -5.59602   0.0164329
         523    -5.32658     -5.5955   0.0164096
         524    -5.32297    -5.59498   0.0163865
         525    -5.31932    -5.59446   0.0163637
         526    -5.31549    -5.59393   0.0163412
         527    -5.31162    -5.59339   0.0163189
         528    -5.30801    -5.59285    0.016297
         529    -5.30498    -5.59231   0.0162752
         530    -5.30161    -5.59176   0.0162538
         531    -5.29834     -5.5912   0.0162326
         532    -5.29548    -5.59065   0.0162116
         533    -5.29303    -5.59009   0.0161908
         534    -5.29052    -5.58953   0.0161702
         535    -5.28765    -5.58897   0.0161498
         536    -5.28505     -5.5884   0.0161296
         537    -5.28224    -5.58783   0.0161096
         538    -5.28015    -5.58726   0.0160898
         539    -5.27818    -5.58668   0.0160702
         540    -5.27664    -5.58611   0.0160507
         541    -5.27479    -5.58553   0.0160313
         542     -5.2728    -5.58496   0.0160121
         543    -5.27129    -5.58438   0.0159931
         544    -5.26982     -5.5838   0.0159741
         545    -5.26871    -5.58322   0.0159553
         546    -5.26842    -5.58265   0.0159365
         547    -5.26778    -5.58207   0.0159177
         548    -5.26693    -5.58149   0.0158991
         549    -5.26726    -5.58092   0.0158804
         550    -5.26757    -5.58035   0.0158617
         551    -5.26725    -5.57978   0.0158431
         552    -5.26859    -5.57922   0.0158244
         553    -5.26947    -5.57866   0.0158057
         554     -5.2708     -5.5781    0.015787
         555    -5.27226    -5.57755   0.0157681
         556    -5.27463    -5.57701   0.0157492
         557    -5.27668    -5.57647   0.0157302
         558    -5.27976    -5.57594   0.0157109
         559    -5.28236    -5.57541   0.0156916
         560    -5.28552     -5.5749   0.0156721
         561    -5.28831    -5.57438   0.0156525
         562     -5.2912    -5.57388   0.0156328
         563     -5.2949    -5.57338   0.0156129
         564    -5.29896     -5.5729   0.0155928
         565    -5.30306    -5.57242   0.0155725
         566    -5.30717    -5.57195    0.015552
         567     -5.3116    -5.57149   0.0155314
