#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         313     1.12663     1.26484   0.0169208
         314     1.12425     1.26439   0.0168728
         315     1.12185     1.26394   0.0168253
         316     1.11945     1.26348   0.0167783
         317     1.11704     1.26302   0.0167317
         318     1.11463     1.26255   0.0166856
         319     1.11222     1.26208   0.0166399
         320     1.10981      1.2616   0.0165948
         321      1.1074     1.26112     0.01655
         322     1.10499     1.26064   0.0165057
         323     1.10258     1.26015   0.0164619
         324     1.10016     1.25966   0.0164185
         325     1.09773     1.25916   0.0163755
         326     1.09529     1.25865    0.016333
         327     1.09284     1.25815   0.0162909
         328     1.09038     1.25764   0.0162493
         329      1.0879     1.25712   0.0162081
         330     1.08542      1.2566   0.0161673
         331     1.08291     1.25608    0.016127
         332      1.0804     1.25555   0.0160871
         333     1.07788     1.25501   0.0160476
         334     1.07536     1.25447   0.0160086
         335     1.07284     1.25393     0.01597
         336     1.07033     1.25339   0.0159318
         337     1.06784     1.25284    0.015894
         338     1.06539     1.25228   0.0158567
         339     1.06298     1.25172   0.0158197
         340     1.06063     1.25116   0.0157832
         341     1.05835      1.2506    0.015747
         342     1.05616     1.25003   0.0157112
         343     1.05406     1.24946   0.0156758
         344     1.05208     1.24888   0.0156407
         345     1.05023     1.24831    0.015606
         346     1.04852     1.24773   0.0155716
         347     1.04696     1.24715   0.0155374
         348     1.04558     1.24657   0.0155036
         349     1.04437     1.24599     0.01547
         350     1.04334     1.24541   0.0154366
         351     1.04251     1.24483   0.0154034
         352     1.04188     1.24426   0.0153705
         353     1.04145     1.24368   0.0153377
         354     1.04123     1.24311    0.015305
         355     1.04122     1.24254   0.0152724
         356     1.04142     1.24198     0.01524
         357     1.04183     1.24142   0.0152076
         358     1.04243     1.24086   0.0151753
         359     1.04324     1.24031    0.015143
         360     1.04424     1.23977   0.0151107
         361     1.04542     1.23923   0.0150785
         362     1.04678      1.2387   0.0150462
         363      1.0483     1.23817   0.0150139
         364     1.04998     1.23765   0.0149815
         365      1.0518     1.23715   0.0149491
         366     1.05375     1.23664   0.0149167
         367     1.05582     1.23615   0.0148842
         368       1.058     1.23567   0.0148516
         369     1.06026     1.23519   0.0148189
         370     1.06259     1.23473   0.0147862
